,Age,Gender,Position,TotalYearsExperience,YearsExperienceGermany,Seniority,MainSkill,SecondarySkills,BrutSalary,BrutSalaryAndStocks,AnnualBrutLastYear,AnnualBrutAndStocksLastYear,VacationDays,Employment,ContractDuration,CompanySize,CompanyType,LossOfJobCorona,HoursIfShorterWeek,AdditionalMonetarySupport
319,29.0,Male,Mobile Developer,8.0,0.25,Senior,Java/Kotlin,"Kotlin, C/C++, Java / Scala",65400.0,5000.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,11-50,Consulting / Agency,No,0.0,0.0
320,40.0,Male,Backend Developer,18.0,2.5,Senior,php,"PHP, SQL, Go, Docker, Postgres",60000.0,0.0,60000.0,0.0,28,Full-time employee,Unlimited contract,1000+,Product,No,34.0,0.0
321,27.0,Male,Software Engineer,5.0,1.0,Senior,Typescript / Angular,,71000.0,5000.0,66000.0,0.0,30,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,250.0
322,27.0,Male,Software Engineer,5.0,1.0,Senior,Javascript,"Javascript / Typescript, Go",65000.0,5000.0,65000.0,65000.0,22,Full-time employee,Unlimited contract,51-100,Product,No,13.566568047337277,250.0
323,38.0,Male,Systemadministrator,20.0,2.0,Senior,,,44000.0,5000.0,42000.0,5000.0,25,Full-time employee,Unlimited contract,11-50,Systemhaus,No,20.0,250.0
324,22.0,Male,Backend Developer,3.0,0.0,Middle,PHP,,27000.0,5000.0,65000.0,5000.0,21,Full-time employee,Unlimited contract,51-100,Consulting / Agency,No,13.566568047337277,250.0
325,30.0,Male,DevOps,9.0,5.0,Lead,Kubernetes,"Python, Google Cloud, Kubernetes, Docker",90000.0,0.0,80000.0,0.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
326,30.0,Male,Software Engineer,6.0,0.0,Middle,.NET,"Javascript / Typescript, .NET, SQL, Docker",60000.0,6000.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
327,29.0,Male,SW Architect,8.0,3.0,Senior,C++,"Python, C/C++, Docker",73000.0,400.0,59000.0,60000.0,30,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,250.0
328,37.0,Male,Software Engineer,15.0,7.0,Senior,ABAP,"Javascript / Typescript, SAP / ABAP",67500.0,7500.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,250.0
329,28.0,Male,SRE,6.0,1.5,Middle,Kubernetes,"Python, Go, AWS, Kubernetes, Docker",66000.0,122.13,66000.0,0.0,27,Full-time employee,Unlimited contract,1000+,Product,No,0.0,0.0
330,28.0,Female,Software Engineer,8.0,0.0,Lead,Javascript,,80000.0,0.0,65000.0,5000.0,28,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,500.0
331,26.0,Male,Software Engineer,5.0,5.0,,,"Python, Kotlin, Javascript / Typescript, Java / Scala, SQL, Kubernetes, Docker",55000.0,0.0,52000.0,0.0,30,Full-time employee,Unlimited contract,11-50,Consulting / Agency,No,32.0,0.0
332,28.0,Male,Backend Developer,5.0,1.5,Middle,Java,Linux,55000.0,5000.0,42000.0,5000.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,0.0,250.0
333,33.0,Male,Software Engineer,13.0,3.0,Senior,Ruby,"Ruby, Java / Scala, Go, AWS, Kubernetes, Docker",75000.0,20000.0,68000.0,0.0,27,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,600.0
334,25.0,Male,Backend Developer,5.0,0.0,Senior,Java,Python,60000.0,5600.0,65000.0,5000.0,,,,,,,13.566568047337277,250.0
335,40.0,Male,Software Engineer,22.0,3.0,Senior,Java,"Kotlin, Javascript / Typescript, Java / Scala, Kubernetes, Docker",72000.0,5000.0,45000.0,45000.0,30,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,250.0
336,28.0,Male,"Fullstack engineer, ну или Software engineer",9.0,1.0,Senior,React/Typescript,MongoDB,60000.0,0.0,65000.0,5000.0,28,Full-time employee,Unlimited contract,up to 10,Startup,No,20.0,250.0
337,29.0,Male,Backend Developer,11.0,2.0,Senior,Python,"Python, Go, AWS, Kubernetes, Docker",85000.0,4000.0,85000.0,4000.0,30,Full-time employee,Unlimited contract,51-100,Product,No,13.566568047337277,250.0
338,24.0,Male,HiWi,3.0,2.0,Junior,Python,"Python, C/C++",10164.0,5000.0,65000.0,5000.0,14,Part-time employee,Temporary contract,11-50,University,No,13.566568047337277,250.0
339,30.0,Male,Backend Developer,4.0,2.0,Senior,Golang ,"Javascript / Typescript, .NET, SQL, Go, Kubernetes, Docker",65000.0,5000.0,65000.0,5000.0,,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
340,31.0,Male,Software Engineer,11.0,1.0,Middle,Python,Docker,75000.0,5000.0,65000.0,5000.0,unlimited ,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,250.0
341,44.0,Male,Software Engineer,28.0,6.0,Senior,C#,"C/C++, .NET, SQL",78500.0,0.0,78500.0,2000.0,30,Full-time employee,Unlimited contract,51-100,Product,No,13.566568047337277,250.0
342,41.0,Female,Data Engineer,12.0,12.0,Senior,,"Python, SQL, Azure",68000.0,4500.0,61500.0,5000.0,30,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,Lost the job but for different reason,0.0,0.0
343,32.0,Male,Software Engineer,12.0,1.0,Senior,Java,"Python, SQL, AWS, Kubernetes, Docker",83000.0,500.0,75000.0,0.0,27,Full-time employee,Unlimited contract,1000+,Product,No,0.0,40.0
344,28.0,Female,Software Engineer,4.0,4.0,Junior,,"PHP, SQL, Perl",53000.0,5000.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,1000+,Consulting / Agency,No,13.566568047337277,250.0
345,33.0,Male,Software Engineer,10.0,1.0,Middle,iOS,Swift,65000.0,5000.0,65000.0,5000.0,27,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,500.0
346,46.0,Male,Software Engineer,10.0,2.0,Senior,Python ,"Javascript / Typescript, AWS",68500.0,5000.0,60000.0,5000.0,28,Full-time employee,Unlimited contract,51-100,Startup,No,13.566568047337277,250.0
347,27.0,Male,Frontend Developer,8.0,1.0,Middle,Angular,Javascript / Typescript,45000.0,5000.0,65000.0,5000.0,28,Full-time employee,Unlimited contract,51-100,Product,No,30.0,250.0
348,30.0,Male,Backend Developer,2.0,0.0,Middle,php,"PHP, Javascript / Typescript, SQL",12000.0,5000.0,65000.0,5000.0,,,,,,,13.566568047337277,250.0
349,32.0,Male,Backend Developer,5.0,3.0,Middle,Ruby,"Javascript / Typescript, AWS, Docker",72000.0,5000.0,60000.0,5000.0,30,Full-time employee,Unlimited contract,11-50,Product,No,0.0,250.0
350,34.0,Male,Software Engineer,15.0,2.0,Lead,Java,"Java / Scala, SQL",80000.0,12000.0,76000.0,11000.0,28,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,750.0
351,33.0,Male,Software Engineer,10.0,3.7530701754385967,Senior,Salesforce ,"Python, Javascript / Typescript, Apex",68000.0,5000.0,65000.0,5000.0,25,Full-time employee,Temporary contract,11-50,Startup,No,13.566568047337277,250.0
352,26.0,Male,Software Engineer,4.0,0.0,Middle,javascript,"Javascript / Typescript, SAP / ABAP",24000.0,0.0,20000.0,0.0,20,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,No,0.0,0.0
353,41.0,Male,Software Engineer,19.0,7.0,Lead,Python,"C/C++, SQL, AWS, Kubernetes, Docker",95500.0,14500.0,94000.0,7500.0,30,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,250.0
354,35.0,Male,Software Engineer,14.0,7.0,Senior,C++,"Python, C/C++, SQL",72000.0,77000.0,70000.0,70000.0,35,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
355,26.0,Male,Software Engineer,7.0,3.5,Senior,TypeScript,"Python, Javascript / Typescript, AWS, Docker",72000.0,5000.0,65000.0,5000.0,27,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,No,13.566568047337277,250.0
356,27.0,Male,Mobile Developer,3.0,0.0,Middle,Kotlin,"Kotlin, Java / Scala",65000.0,5000.0,65000.0,5000.0,,Full-time employee,Unlimited contract,101-1000,Startup,No,13.566568047337277,250.0
357,24.0,Male,Software Engineer,3.0,2.0,Middle,Java/C++,"Python, C/C++, Javascript / Typescript, Java / Scala, SQL, Kubernetes",77600.0,43500.0,72000.0,18800.0,30,Full-time employee,Unlimited contract,1000+,Product,No,40.0,1000.0
358,35.0,Male,Software Engineer,13.0,3.0,Lead,Scala / Python,"Python, Ruby, Java / Scala, Google Cloud, Kubernetes, Docker",95000.0,15000.0,90000.0,0.0,25,Full-time employee,Unlimited contract,51-100,Startup,No,0.0,0.0
359,31.0,Male,Software Engineer,7.0,3.0,Senior,C++,"Python, C/C++, Javascript / Typescript, SQL",50400.0,50400.0,50000.0,50000.0,27,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,250.0
360,25.0,Male,Backend Developer,5.0,0.0,Middle,Java,"Python, Kotlin, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",80000.0,5000.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,1000+,Startup,,13.566568047337277,250.0
361,30.0,Male,Backend Developer,2.0,3.7530701754385967,Middle,Python,"Python, SQL, Docker",13000.0,0.0,65000.0,5000.0,28,Full-time employee,Unlimited contract,51-100,Startup,No,13.566568047337277,250.0
362,30.0,Male,Software Engineer,5.0,0.0,Middle,C,C/C++,14712.0,0.0,14712.0,0.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,40.0,0.0
363,33.0,Male,Product Manager,5.0,5.0,Senior,,Python,70000.0,800.0,65000.0,67000.0,30,Full-time employee,,101-1000,Product,No,13.566568047337277,250.0
364,35.0,Male,QA Engineer,11.0,10.0,Senior,Java,"Python, Javascript / Typescript, .NET, Java / Scala, Kubernetes, Docker",74400.0,5000.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,32.0,250.0
365,37.0,Male,Software Engineer,15.0,5.0,Senior,Java,"Python, Javascript / Typescript, Java / Scala, Go, AWS, Kubernetes, Docker",70000.0,0.0,60000.0,0.0,25,Full-time employee,Temporary contract,11-50,Startup,No,13.566568047337277,250.0
366,36.0,Male,Backend Developer,10.0,5.0,Senior,Java/Scala,"Python, Go, AWS, Docker",82000.0,5000.0,78000.0,5000.0,30,Full-time employee,Unlimited contract,51-100,Product,No,13.566568047337277,500.0
367,38.0,Male,Security Engineer,5.0,3.0,Lead,,"Python, C/C++, AWS, Kubernetes, Docker",80000.0,0.0,70000.0,3500.0,30,Full-time employee,Unlimited contract,101-1000,Startup,No,32.0,0.0
368,23.0,Male,Software Engineer,4.0,1.0,Middle,Javascript,"Javascript / Typescript, SQL, AWS, Docker",70500.0,0.0,58000.0,0.0,30,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,250.0
369,39.0,Male,Software Engineer,11.0,3.0,Lead,PHP,"PHP, SQL, Kubernetes, Docker",75000.0,0.0,75000.0,0.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
370,27.0,Female,Data Scientist,3.0,3.0,Middle,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",58000.0,1000.0,55000.0,0.0,24,Full-time employee,Unlimited contract,51-100,Product,No,13.566568047337277,250.0
371,50.0,Male,Software Engineer,29.0,2.0,Lead,C++,"C/C++, PHP, SQL",28800.0,28800.0,28800.0,28800.0,30,Full-time employee,Unlimited contract,11-50,IT-Outsourcing,No,0.0,0.0
